Kelas,Kode,Piksel,Area_km2,Persentase,Skor
Buruk,,20085,17.93328961613615,13.078555986768423,1.0
Kurang Baik,,33543,29.949531172220805,21.841872216289428,2.0
Sedang,,42198,37.67731915467828,27.477665199385303,3.0
Baik,,49781,44.44795072844778,32.41541426822598,4.0
Sangat Baik,,7965,7.111707831343014,5.186492329330868,5.0
