Kelas,Skor,Piksel,Area_km2,Persentase
N - Tidak Sesuai,1.0,5804,14.395045076764612,10.508210671156736
S3 - Sesuai Marginal,2.0,29918,74.20243945669257,54.16689298064563
S2 - Cukup Sesuai,3.0,19480,48.31417610189088,35.268770481415096
S1 - Sangat Sesuai,4.0,31,0.07688600919705427,0.05612586678253942
