Kelas,Skor,Piksel,Area_km2,Persentase
Cukup Sesuai (25-30°C),3.0,450,27.902166899644374,20.398912058023573
Sesuai (20-25°C),4.0,1506,93.37925189080984,68.26835902085222
Sangat Sesuai (15-20°C),5.0,250,15.501203833135763,11.332728921124206
