Kelas,Skor,Piksel,Area_km2,Persentase
Asam (pH 4.5-5.5),2.0,12781,126.79743013516783,92.54217652595756
Netral (pH 5.5-7.0),3.0,1030,10.21839864167302,7.45782347404243
